제목,작성 날짜,주최사,활동내용,모집 기간,모집 인원,모집 대상,참가 비용 유/무,우대 사항,활동 지역,활동 기간
[아시아나항공] 아시아나가 네 꿈에 날개가 되어줄게! 드림윙즈 8기 모집(~4/13),20180312,아시아나항공,"아시아나 드림윙즈는 꿈 꾸는 대학생들이 더 큰 꿈을 꾸고, 더 넓은세계를 경험할 수 있도록꿈에 대해 성찰할 수 있는 계기를 마련하고, 해외활동을 후원하는 아시아나항공의대학생 꿈 실현 프로젝트입니다.",2018년 3월 12일(월) ~ 4월 13일(금),개인 또는 2인 팀 > 최대 10개팀 선발,전국 대학생(석박사 과정 제외), 국내 꿈 여행 지원금제공 해외 꿈 여행 항공권과지원금 제공,,아시아나항공 직항 취항 도시(공동운항 제외)(http://flyasiana.com/CW/ko/flyingLine/flyingLineList.do),"[진행 일정]드림스토리(3/12 ~ 4~13): 꿈 여행 계획서 접수서류합격자발표(4/24): 최대 20개팀, 14시 발표드림오디션(4/27): 해외 꿈 여행 계획서 발표(PT) / 최종 드림윙즈 8기 선발.최종합격자발표(5/1): 최대 10개팀, 14시 발표드림캠프1차(5/11): 발대식/ 국내 꿈 여행 계획 공유드림위크1차(5/12 ~ 5/27): 국내 꿈 여행 계획 실행(1박 2일)드림캠프2차(6/1): 국내 꿈 여행 결과 발표(PT) / 멘토링 및 특강드림위크2차(6/18 ~ 7/22): 해외 꿈 여행 계획 실행(6박 7일)드림페스타(7/27): 꿈 여행 결과 발표(PT) / 베스트 드리머 3팀 선정(진행 일정은 부득이한사정에 따라 일부 변경될 수 있습니다.)"
서울유스호스텔 2018년 해외파견봉사단원 3기 모집!(~4월 4일),20180308, 서울유스호스텔 2018년 해외교류협력사업 (해외봉사활동)," 산촌마을 학교 개보수 작업, 교육 활동, 의료보건 활동, 문화탐방 활동 등", 2018년 3월 8일(목)~4월 4일(수) 17:00 까지, 총 15명," 19세~27세 대한민국 국적자 누구나 (주민등록기준 1991.01.01~1999.04.27 출생자) 졸업생, 대학 미진학 모두 가능"," 1인당 800,000원 (왕복항공료, 비자, 사전교육, 현지체재비, 단체복 등 포함)"," 국내외 봉사활동 경험이 있는자 서울유스호스텔 청소년운영위원회 활동경험자 외국어 공인성적 보유자 및 영어회화, 파견국 언어 능통자 파견활동에 해당하는 학과 전공, 자격증 소지자 및 특기자 (예술, 체육, 의학, 간호, 보건, 교육, 청소년, 유아, 외국어, 건축학 등)", 미얀마 (네피도 예진 지역 인근), 2018년 6월 27일(수)~7월 7일(토) / 9박 11일
[한국갭이어] 누구나 할 수 있는 아이들을 치료하는 캄보디아 의료 봉사활동(~선착순 마감),20180307,한국갭이어,상단 활동 내용 참고,선착순 모집,00명,"만 18세 이상 의료봉사에 관심있는 사람 누구나. 대학생, 졸업생, 휴학생, 취준생, 직장인, 일반인 등",유참가기간별 상이. 홈페이지에서 확인 가능,,캄보디아,최소 4주 이상
[캄보프렌드] 2018년 하계방학 해외봉사활동 지원자 모집(하계 및 수시모집),20180302,캄보프렌드,"교육봉사,노력봉사,건축봉사,볼런투어(공정봉사여행),컴퓨터교육,기타 개인 및 단체봉사단",하계방학 봉사프로그램 (~2018.09월까지) / 연중수시모집 봉사프로그램 (연중수시지원),제한없음,제한없음 (개인 또는 단체) : 졸업생 신청 가능,참가비용 : 유,제한없음 (누구나 봉사활동 참여 가능),캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),봉사프로그램마다 활동기간 다름 (본인 희망에 따라 일정 선택 가능)
[해외봉사] 네팔어린이들의 꿈을 응원하실 팀원을 구합니다! (~3/21),20180222,'네꿈내꿈' 네팔 아동교육 지원,"네팔 아동 교육 지원, 네팔 현지활동 파견, 크라우드 펀딩 기획, 각종 공모전 참여",18.02.22 (목) ~ 1803.21(수),00명, 국제구호사업의 실무를 맛보고 싶은 사람! 인도주의적인 열정을 지니고 있는 사람!  20대의 특별한 경험을 쌓고 싶은 사람!  활동 시작후 6개월 이상 활동할 수 있는사람! (가입시 6개월은 필수 활동 기간입니다.) 졸업생 가능합니다.,입회비는 따로 없습니다! But.. 네팔에 갈때는 개인부담이 조금 있습니다!,열정을 가진사람!정말 아이들을 위해 열심히 활동 하실 수 있는분!,,입니다.) 졸업생 가능합니다.참가 비용 유/무입회비는 따로 없습니다! But.. 네팔에 갈때는 개인부담이 조금 있습니다! 우대 사항열정을 가진사람!정말 아이들을 위해 열심히 활동 하실 수 있는분!활동 지역  서울/경기활동 기간가입후 최소 6개월은 필수 활동을 하셔야해요.. 나가실 수 없어요.... 나가지마세요... 집착할거에요..
 캐나다 문화탐방 체험 해외봉사 프로그램 2차 (~ 3월30일 마감),20180221,문화체험본부,"캐나다 동부 서부 지역의 와이너리 또는 리조트, 호텔등 하루 일정시간 봉사를 통해 실무능력과 언어를 향상 시키고 무료 숙박을 제공받아 현지 문화체험의 기회를 갖는 시간!",상반기 일정( ~ 3월30일),포지션별 상이,"해외 여행에 결격사유가 없는 심신이 건강한 사람.해외 문화체험에 관심이 높고 현지인들과 어울리는 것을 어려워하지 않는사람.영어회화 초급자 가능.캐나다 배낭여행 계획 혹은 비용을 최소화 하여 여행 하고자 하는 사람.봉사활동을 통해 커리어를 쌓고, 미래에 현지 취업을 희망하는 사람.",참가비,영어회화 초급자 이상우대.관련 업무또는 활동 유 경험자프랑스어 가능자 우대.운전면허 소지자,캐나다 동부/서부 전 지역,최소2개월  1년
" [한국갭이어] 외국인 친구들과 함께하는 광활한 대륙, 호주 환경보존 봉사(~선착순 마감)",20180219,한국갭이어,상단 포스터 및 이미지 내용 참고,선착순 모집,,"일반인, 재학생, 휴학생, 졸업생, 직장인 등 누구나 참가 가능",유 / 홈페이지 참고,,호주 내 전역,최소 2주 이상
 [포스코건설]대학생봉사단 Happybuilder 8기 단원 모집(~3/9),20180216,포스코건설 대학생봉사단 해피빌더 8기 단원 모집,포스터 참고,2018.2.9~2018.3.9 18시 마감,50명,자신의 끼와 재능으로 나눔을 실천하고자 하는 2년제 이상 대학 재학생 또는 휴학생 누구나 (졸업생 불가),"참가비용 30만원 (국내외 봉사활동 지원비로 사용되며, 기부금영수증 발행됩니다)",포스터 및 첨부드린 모집요강 참고,국내: 인천 지역 해외: 2개국 중 인당 1개국 파견,2018.3월~12월 (약 10개월)
 [워크페스티벌] 유럽에서 대외활동을 한다? 2018 유럽축제기획단을 모집합니다! (선착순마감),20180214,한국&이탈리아 문화교류 단체 코아인,"유럽! 축제위를 걷다. <Walk Festival>1년에 단 2번!유럽의 세계적인 축제를 즐기고, 유럽속에서 한국을 만들다!<유럽축제참여>유럽 최고의 뮤직페스티벌 상 수상!20대를 위한 축제라는 수식어섬 전체에서 진행되는 뮤직페스티벌 <시게트 페스티벌><축제기획 / MK프로젝트>유럽 속 한국만들기!Making Korea 프로젝트이미 이탈리아에서는 MK프로젝트 날짜를 기다리는 사람들이 있습니다!<유럽여행>여행의 최우선은 안전!외교부에서 지정한 안전한 여행지로만 선정한 코스!우리만 타는 전용버스로 이동까지 편하게!<랜덤미션>유럽에 갔더니... 또 성당~~~??갑자기 주어지는 랜덤미션!20대라면 여행도 특별하게 즐겨보자!<한복대여지원 / 2주간 1만원>유럽에서 한복입기! #버킷리스트예쁜한복을 2주간 1만원에 대여할 수 있도록 지원합니다.유럽에서 한복입으면 너도나도 연예인! 사진찍자는 외국인이 줄을섭니다 :)",2018년 2월 14일 ~ 선착순마감,"각 기수별 48명 (기수는 여행 출발날짜만 다르며, 축제와 일정은 동일합니다!)","남들과는 다른 특별한 인생스토리 & 스펙을 갖고 싶은 20대 청춘 누구나!흔한 유럽여행 말고 우리만의 축제를 만들고 한국을 알리고 싶은 20대 청춘 누구나!나에 대한 욕심이 많고, 새로운 터닝포인트가 필요한 20대 청춘 누구나!졸업생 가능여부 : O",유료 프로그램입니다.,없음,"유럽 경력 14년의 노하우를 담고, 외교부에서 지정한 안전한 지역을 넣어 만든 특별한 유럽코스!!2주는 짧고, 3주는 길다<17박 18일>이탈리아(로마, 피렌체, 베네치아)슬로베니아(류블라냐)헝가리(부다페스트)오스트리아(비엔나)체코(체스키크롬로프, 프라하)","<17박 18일>30기, 31기 : 7.29 ~ 8.1532기 : 8.1 ~ 8.1833기 : 8.4 ~ 8.2134기, 35기 : 8.10 ~ 8.27(모든 기수의 방문도시 & 축제는 동일합니다. 날짜에 따라 기수가 나뉘어져 있습니다.)"
[쿠마모토후루사토] 2018년 3월 일본큐슈 참가비무료쿠마모토 문화체험(~2/15마감),20180205,,,,,,,,,
"[한국갭이어] 태양의 후예의 그 곳, 그리스 자킨토스에서 거북이 구출 봉사활동(~선착순 마감)",20180205,한국갭이어,거북이 구조 및 부화(산란) 돕기,2월 5일 ~ 8월 31일까지,선착순 마감,"대학생, 휴학생, 졸업생, 일반인 등 만 18세 이상 누구나 참가 가능",유,,그리스 자킨토스,최소 4주 이상~
 떠나리 2018 봄 글로벌 자원봉사캠프 리더모집 / 외국인 친구 만들기(~2월 16일),20180202,떠나리 2018 봄 글로벌 자원봉사캠프 리더모집,"홍콩 등 외국인 친구들과 함께 글로벌 자원봉사를 인솔하여 교육자원봉사, 목공수업 등 노력봉사를 전개합니다.",~2월 16일(1개 캠프),1~2명(캠프리더),글로벌 자원봉사에 관심있는 대한민국 청년,없음.,외국어로 홍콩 친구들을 인솔할 수 있는 청년봉사활동 또는 국제활동 경험 중 한가지만 갖추면 지원가능,경기도 성남시 남한산성 아래 논골마을,2018년 3월 28일  4월 5일
" [한국갭이어] 꿈의 여행지, 프랑스 중세시대 문화재 보존 봉사활동(~선착순 모집)",20180124,한국갭이어,상단 참고프랑스 중세시대 문화재 보존 및 복원 활동,선착순 모집,,"대학생, 휴학생, 졸업생, 일반인, 직장인 등 만 18세 이상 누구나 참가 가능",유,,", 숙소 위치 등은 시즌 및 현지상황에 따라 매년 변경될 수 있습니다.■ 안내 사항 프로젝트 상세 비용 및 포함/불포함 내역 등은 홈페이지에서 자세히 확인가능합니다.http://www.koreagapyear.com/allProgram_detail2.php?key=af551a4d879b9de94912dc2ccce84699 문의카카오톡 플러스친구 @갭이어help@koreagapyear.com주최사 / 활동명한국갭이어 / 프랑스 중세시대 문화재 보존 봉사활동활동내용상단 참고프랑스 중세시대 문화재 보존 및 복원 활동모집 기간선착순 모집모집 인원모집 대상(+졸업생 가능여부)대학생, 휴학생, 졸업생, 일반인, 직장인 등 만 18세 이상 누구나 참가 가능참가 비용 유/무유우대 사항활동 지역프랑스 남부지방",6월 ~ 9월 내 참가자가 원하는 기간
 [문화체험본부] 해외 국립공원 봉사활동/인턴 (~2월/14일),20180123,문화체험본부,"공원내 환경관리 : 나무심기, 쓰레기줍기, 잡초뽑기생태계 관리 : 공원 내의 동식물 서식지 및 건강 관리산불 예방을 위한 훈련과 정기적인 예방 관리공원 관리를 위한 자원의 효율적인 사용 계획 세우기공원 냉의 주요 장소로 향하는 산책로 관리공원 방문객 편의를 위한 통번역 서비스 제공공원내 편의 시설 (매점, 주차장, RV, 캠프장 등) 관리게스트 관리 : 차량 안내, 가이드, 안내데스크, 게스트 안전 관리 등숙박 시설 유지 & 관리",상반기(1월6월 사이)및 하반기(6월12월 사이) *결원 발생시 충원모집,총 00명 (시기별 마감 현황은 접수 전 필수 확인 : *카카오톡 volunteer2u),"만 1830세 미만의 신체 건강한 분으로, 해외 여행에 결격 사유가 없는 자초중급 이상의 영어실력(Writing/Speaking)으로 업무 진행이 가능한 자영어 초급자 참가 가능봉사활동에 긍정적인 사고를 가진 자과거 범죄사실이 없는 자",유,"환경관련 행정업무 가능자/경력자 우대환경학, 과학, 생물학, 식물학, 환경공학, 고고학 등 관련 학과 전공자 우대운전면허 소지자 우대자연을 사랑하고 환경보호에 대한 관심과 열정이 있는자 우대",영미권/유럽지역,3개월1년
" [한국갭이어] 소박한 일상의 와일드 라이프, 일본 유기동물 봉사활동(~선착순 마감)",20180122,한국갭이어,유기동물 봉사활동상단 내용 참고,선착순 마감,,"대학생, 휴학생, 일반인, 직장인, 졸업생 등 만 18세 이상 동물에 관심있는 사람 누구나",유4주 62만원,,일본 도쿠시마,최소 2주부터~
 [캄보프렌드] 동계방학 해외봉사활동 지원자 모집 (수시지원),20180119,캄보프렌드,교육봉사 + 건축봉사 + 노력봉사 + 컴퓨터교육 + 볼런투어공정봉사여행 등,연중수시모집 및 동계방학 프로그램 (~2018.03.31일까지),제한없음,"제한없음 (학생,휴학생,졸업생,직장인,일반인 등) : 홀로 또는 동행과 함께, 개인 또는 단체 등",참가비용 : 유,해당없음,캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 아프리카 케냐(나이로비),각 봉사프로그램마다 활동 기간 다름 (봉사자 희망에 따라 선택 가능)
" [한국갭이어] 싱가포르, 희귀야생동물 구조 봉사활동(~선착순 마감)",20180118,한국갭이어,싱가포르에서 희귀야생동물 구조 봉사활동,선착순 모집* 현재 방학기간이라 참가자들이 많기 때문에 빠른 신청 부탁드립니다.,,만 16세 이상 동물에 관심있는 사람 누구나,유* 홈페이지에서 확인가능,,싱가포르,최소 1주 이상~
 [아시아희망캠프] 1월~2월 일본 국제워크캠프/국제교류봉사(선착순 모집 봉사확인서 발행가능!!),20180115,,"| 삿포로의 일본 고등학생들과 봉사활동과 문화체험&교류회, 시로이코이비토 파크견학모집인원 | 10명★자리가 얼마 남지 않았습니다!!빨리 신청해주세요!★>>홋카이도 삿포로 국제워크캠프【20181 오사카 국제워크캠프】프로그램명 | 20181 오사카 국제워크캠프기간 | 2018년 1월24일(수)~2018년 1월28일(일) (4박5일)비용 | 57만원(왕복항공비 및 현지공항~숙소 왕복교통비를 제외한 일체의 경비)참가자격 | 일본에 관심이 많은 한국인 중고생, 대학생, 취준생, 사회인,직장인활동내용 | 오사카스쿨오브뮤직(OSM)견학  일본 학생들과의 교류 오사카 유명 관광지 관광 등모집인원 | 10명>>오사카 국제워크캠프★자리가 얼마 남지 않았습니다!!빨리 신청해주세요!★【20182도쿄국제워크캠프】프로그램명 | 20182 도쿄 국제워크캠프기간 | 2018년 2월7일(수)~2018년 2월11일(일) (4박5일)비용 | 57만원(항공비 및 현지숙소까지 교통비를 제외한 경비)참가자격 | 일본에 관심이 많은 중고생 대학생 취준생 사회인 직장인활동내용 | 일본문화체험 및 봉사활동, 와세다 대학 견학모집인원 | 10명>>도쿄 국제워크캠프★자리가 얼마 남지 않았습니다!!빨리 신청해주세요!★【20182 교토 국제워크캠프】프로그램명 | 20182 교토 국제워크캠프기간 | 2018년 2월22일(목)~2018년 2월26일(월) (4박5일)비용 | 57만원(왕복항공비 및 현지공항~숙소 왕복교통비를 제외한 일체의 경비)참가자격 | 일본에 관심이 많은 한국인 중고생, 대학생, 취준생, 사회인,직장인활동내용 | 봉사활동과 문화체험&교류회, 교토의 유명 관광지 관광 등모집인원 | 10명>>교토 국제워크캠프【20182 시즈오카 국제워크캠프】프로그램명 | 20182 시즈오카 국제워크캠프기간 | 2018년 2월22일(목)~2018년 2월26일(월) (4박5일)비용 | 57만원(왕복항공비 및 현지공항~숙소 왕복교통비를 제외한 일체의 경비)참가자격 | 일본에 관심이 많은 한국인 중고생, 대학생, 취준생, 사회인,직장인활동내용 | 봉사활동과 문화체험&교류회, 시즈오카의 유명 관광지 관광,다도체험,홈스테이 등모집인원 | 10명>>시즈오카 국제워크캠프【20182 쿠마모토 국제워크캠프】프로그램명 | 20182 쿠마모토 국제워크캠프기간 | 2018년 2월22일(목)~2018년 2월26일(월) (4박5일)비용 | 57만원(항공비 및 현지숙소까지 교통비를 제외한 경비)참가자격 | 일본에 관심이 많은 중고생 대학생 취준생 사회인 직장인활동내용 | 일본문화체험 및 봉사활동, 쿠마모토 관광모집인원 | 한국인 10명>>쿠마모토 국제워크캠프【20182 오키나와 국제워크캠프】프로그램명 | 20182 오키나와 국제워크캠프기간 | 2018년 2월22일(목)~2018년 2월26일(월) (4박5일)비용 | 57만원(항공비 및 현지숙소까지 교통비를 제외한 경비)참가자격 | 일본에 관심이 많은 중고생 대학생 취준생 사회인 직장인활동내용 | 일본문화체험 및 봉사활동, 오키나와 관광모집인원 | 한국인 10명>>오키나와 국제워크캠프※ [봉사확인서 발행] 참가 후기 작성 제출하면 봉사확인서 발행.※ 봉사시간은 실제 봉사한 만큼 부여.※ 일본인 리더가 4박 5일간 동행하고 숙식을 함께 합니다!!※ 현지 공항에서 숙소까지 왕복은 각자 이동도 괜찮습니다.>>홋카이도 삿포로 국제워크캠프2018년 1월22일(월)~2018년 1월26일(금)>>오사카 국제워크캠프2018년1월24일(수)~2018년1월28일(일)>>도쿄 국제워크캠프2018년2월7일(수)~2018년2월11일(일)>>교토 국제워크캠프2018년2월22일(목)~2018년2월26일(월)>>시즈오카 국제워크캠프2018년2월22일(목)~2018년2월26일(월)>>쿠마모토 국제워크캠프2018년2월22일(목)~2018년2월26일(월)>>오키나와 국제워크캠프2018년 2월22일(목)~2018년 2월26일(월)주최사 / 활동명 or 응모주제주최사아시아희망캠프 주최(주)코리아플라자히로바 주관활동명2018.1월 삿포로모집기간 or 응모일정현재 진행중 선착순 10명 모집모집대상(지원/응모자격)중,고등학생 및 대학생/ 취준생/ 사회인활동기간삿포로 2018년 1월22일(월)~1월26일(금) 4박5일간관련 홈페이지아시아희망캠프기구 홈페이지",,,,,,,
